idiom,idiom_token
off the beaten track,<BERTRAM:IDoffthebeatentrackID>
in the running,<BERTRAM:IDintherunningID>
give someone the creeps,<BERTRAM:IDgivesomeonethecreepsID>
do someone proud,<BERTRAM:IDdosomeoneproudID>
take root,<BERTRAM:IDtakerootID>
clean house,<BERTRAM:IDcleanhouseID>
make history,<BERTRAM:IDmakehistoryID>
go all the way,<BERTRAM:IDgoallthewayID>
chapter and verse,<BERTRAM:IDchapterandverseID>
break the bank,<BERTRAM:IDbreakthebankID>
head for the hills,<BERTRAM:IDheadforthehillsID>
in a fog,<BERTRAM:IDinafogID>
bring up the rear,<BERTRAM:IDbringuptherearID>
in the hole,<BERTRAM:IDintheholeID>
true to form,<BERTRAM:IDtruetoformID>
rags to riches,<BERTRAM:IDragstorichesID>
on the ball,<BERTRAM:IDontheballID>
stake a claim,<BERTRAM:IDstakeaclaimID>
up for grabs,<BERTRAM:IDupforgrabsID>
up and running,<BERTRAM:IDupandrunningID>
behind bars,<BERTRAM:IDbehindbarsID>
in my book,<BERTRAM:IDinmybookID>
in black and white,<BERTRAM:IDinblackandwhiteID>
go up in smoke,<BERTRAM:IDgoupinsmokeID>
up the river,<BERTRAM:IDuptheriverID>
make your blood boil,<BERTRAM:IDmakeyourbloodboilID>
rub shoulders,<BERTRAM:IDrubshouldersID>
go spare,<BERTRAM:IDgospareID>
for crying out loud,<BERTRAM:IDforcryingoutloudID>
spot on,<BERTRAM:IDspotonID>
not cricket,<BERTRAM:IDnotcricketID>
in the club,<BERTRAM:IDintheclubID>
under the weather,<BERTRAM:IDundertheweatherID>
act of God,<BERTRAM:IDactofgodID>
play with fire,<BERTRAM:IDplaywithfireID>
ring a bell,<BERTRAM:IDringabellID>
put the boot in,<BERTRAM:IDputthebootinID>
small beer,<BERTRAM:IDsmallbeerID>
turn a blind eye,<BERTRAM:IDturnablindeyeID>
in the black,<BERTRAM:IDintheblackID>
on the nose,<BERTRAM:IDonthenoseID>
rank and file,<BERTRAM:IDrankandfileID>
break someone's heart,<BERTRAM:IDbreaksomeonesheartID>
point the finger,<BERTRAM:IDpointthefingerID>
off and on,<BERTRAM:IDoffandonID>
go to town,<BERTRAM:IDgototownID>
one of those things,<BERTRAM:IDoneofthosethingsID>
keep the peace,<BERTRAM:IDkeepthepeaceID>
by dint of,<BERTRAM:IDbydintofID>
make light of,<BERTRAM:IDmakelightofID>
out of kilter,<BERTRAM:IDoutofkilterID>
get to grips with,<BERTRAM:IDgettogripswithID>
presence of mind,<BERTRAM:IDpresenceofmindID>
fly the flag,<BERTRAM:IDflytheflagID>
over the hill,<BERTRAM:IDoverthehillID>
grind to a halt,<BERTRAM:IDgrindtoahaltID>
cut the crap,<BERTRAM:IDcutthecrapID>
no laughing matter,<BERTRAM:IDnolaughingmatterID>
green light,<BERTRAM:IDgreenlightID>
by the same token,<BERTRAM:IDbythesametokenID>
to the bone,<BERTRAM:IDtotheboneID>
across the board,<BERTRAM:IDacrosstheboardID>
dig deep,<BERTRAM:IDdigdeepID>
let bygones be bygones,<BERTRAM:IDletbygonesbebygonesID>
have a heart,<BERTRAM:IDhaveaheartID>
every man for himself,<BERTRAM:IDeverymanforhimselfID>
follow suit,<BERTRAM:IDfollowsuitID>
part company,<BERTRAM:IDpartcompanyID>
dish the dirt,<BERTRAM:IDdishthedirtID>
hold water,<BERTRAM:IDholdwaterID>
come of age,<BERTRAM:IDcomeofageID>
on the button,<BERTRAM:IDonthebuttonID>
raise the roof,<BERTRAM:IDraisetheroofID>
get a life,<BERTRAM:IDgetalifeID>
dead meat,<BERTRAM:IDdeadmeatID>
bend someone's ear,<BERTRAM:IDbendsomeonesearID>
bear in mind,<BERTRAM:IDbearinmindID>
open someone's eyes,<BERTRAM:IDopensomeoneseyesID>
left and right,<BERTRAM:IDleftandrightID>
fall short,<BERTRAM:IDfallshortID>
seen better days,<BERTRAM:IDseenbetterdaysID>
fun and games,<BERTRAM:IDfunandgamesID>
seal of approval,<BERTRAM:IDsealofapprovalID>
with a will,<BERTRAM:IDwithawillID>
over the counter,<BERTRAM:IDoverthecounterID>
paint the town red,<BERTRAM:IDpaintthetownredID>
in the short run,<BERTRAM:IDintheshortrunID>
get a grip,<BERTRAM:IDgetagripID>
in full swing,<BERTRAM:IDinfullswingID>
under fire,<BERTRAM:IDunderfireID>
hold court,<BERTRAM:IDholdcourtID>
take a dive,<BERTRAM:IDtakeadiveID>
sign of the times,<BERTRAM:IDsignofthetimesID>
on the skids,<BERTRAM:IDontheskidsID>
neck and neck,<BERTRAM:IDneckandneckID>
out of the question,<BERTRAM:IDoutofthequestionID>
under the microscope,<BERTRAM:IDunderthemicroscopeID>
at the end of the day,<BERTRAM:IDattheendofthedayID>
easy as pie,<BERTRAM:IDeasyaspieID>
in the flesh,<BERTRAM:IDinthefleshID>
lay down the law,<BERTRAM:IDlaydownthelawID>
come to terms with,<BERTRAM:IDcometotermswithID>
to say the least,<BERTRAM:IDtosaytheleastID>
walk of life,<BERTRAM:IDwalkoflifeID>
behind someone's back,<BERTRAM:IDbehindsomeonesbackID>
doom and gloom,<BERTRAM:IDdoomandgloomID>
on the side of the angels,<BERTRAM:IDonthesideoftheangelsID>
put the wind up,<BERTRAM:IDputthewindupID>
push the envelope,<BERTRAM:IDpushtheenvelopeID>
cog in the machine,<BERTRAM:IDcoginthemachineID>
for good measure,<BERTRAM:IDforgoodmeasureID>
from scratch,<BERTRAM:IDfromscratchID>
slow burn,<BERTRAM:IDslowburnID>
with a view to,<BERTRAM:IDwithaviewtoID>
chase your tail,<BERTRAM:IDchaseyourtailID>
eyeball to eyeball,<BERTRAM:IDeyeballtoeyeballID>
no questions asked,<BERTRAM:IDnoquestionsaskedID>
catch fire,<BERTRAM:IDcatchfireID>
in hot water,<BERTRAM:IDinhotwaterID>
kiss of life,<BERTRAM:IDkissoflifeID>
on the money,<BERTRAM:IDonthemoneyID>
think twice,<BERTRAM:IDthinktwiceID>
on the ropes,<BERTRAM:IDontheropesID>
piss and vinegar,<BERTRAM:IDpissandvinegarID>
turn the corner,<BERTRAM:IDturnthecornerID>
no holds barred,<BERTRAM:IDnoholdsbarredID>
odds and ends,<BERTRAM:IDoddsandendsID>
hard cheese,<BERTRAM:IDhardcheeseID>
crystal clear,<BERTRAM:IDcrystalclearID>
on the house,<BERTRAM:IDonthehouseID>
in the long term,<BERTRAM:IDinthelongtermID>
under the table,<BERTRAM:IDunderthetableID>
play for time,<BERTRAM:IDplayfortimeID>
keep a low profile,<BERTRAM:IDkeepalowprofileID>
tell it like it is,<BERTRAM:IDtellitlikeitisID>
cut the mustard,<BERTRAM:IDcutthemustardID>
fall into place,<BERTRAM:IDfallintoplaceID>
all the rage,<BERTRAM:IDalltherageID>
round the clock,<BERTRAM:IDroundtheclockID>
cut corners,<BERTRAM:IDcutcornersID>
touch and go,<BERTRAM:IDtouchandgoID>
make ends meet,<BERTRAM:IDmakeendsmeetID>
lie low,<BERTRAM:IDlielowID>
quick as a flash,<BERTRAM:IDquickasaflashID>
get the picture,<BERTRAM:IDgetthepictureID>
nuts and bolts,<BERTRAM:IDnutsandboltsID>
out of line,<BERTRAM:IDoutoflineID>
man of god,<BERTRAM:IDmanofgodID>
jump the gun,<BERTRAM:IDjumpthegunID>
count sheep,<BERTRAM:IDcountsheepID>
nothing to it,<BERTRAM:IDnothingtoitID>
sing the praises of,<BERTRAM:IDsingthepraisesofID>
get the nod,<BERTRAM:IDgetthenodID>
at sea,<BERTRAM:IDatseaID>
in light of,<BERTRAM:IDinlightofID>
out of this world,<BERTRAM:IDoutofthisworldID>
watering hole,<BERTRAM:IDwateringholeID>
come clean,<BERTRAM:IDcomecleanID>
with a vengeance,<BERTRAM:IDwithavengeanceID>
call it a day,<BERTRAM:IDcallitadayID>
turn someone's head,<BERTRAM:IDturnsomeonesheadID>
play games,<BERTRAM:IDplaygamesID>
do the trick,<BERTRAM:IDdothetrickID>
spend a penny,<BERTRAM:IDspendapennyID>
mean business,<BERTRAM:IDmeanbusinessID>
pull a face,<BERTRAM:IDpullafaceID>
in the final analysis,<BERTRAM:IDinthefinalanalysisID>
on the horn,<BERTRAM:IDonthehornID>
rub someone up the wrong way,<BERTRAM:IDrubsomeoneupthewrongwayID>
on the rocks,<BERTRAM:IDontherocksID>
knock it off,<BERTRAM:IDknockitoffID>
writ large,<BERTRAM:IDwritlargeID>
on edge,<BERTRAM:IDonedgeID>
mark someone's card,<BERTRAM:IDmarksomeonescardID>
at the crossroads,<BERTRAM:IDatthecrossroadsID>
down and out,<BERTRAM:IDdownandoutID>
by the book,<BERTRAM:IDbythebookID>
on the shelf,<BERTRAM:IDontheshelfID>
in the long run,<BERTRAM:IDinthelongrunID>
game on,<BERTRAM:IDgameonID>
give someone the eye,<BERTRAM:IDgivesomeonetheeyeID>
pissed off,<BERTRAM:IDpissedoffID>
bear fruit,<BERTRAM:IDbearfruitID>
beat about the bush,<BERTRAM:IDbeataboutthebushID>
foam at the mouth,<BERTRAM:IDfoamatthemouthID>
twist someone's arm,<BERTRAM:IDtwistsomeonesarmID>
sit on the fence,<BERTRAM:IDsitonthefenceID>
on a roll,<BERTRAM:IDonarollID>
behind closed doors,<BERTRAM:IDbehindcloseddoorsID>
pleased as punch,<BERTRAM:IDpleasedaspunchID>
save the day,<BERTRAM:IDsavethedayID>
fight shy of,<BERTRAM:IDfightshyofID>
cut no ice,<BERTRAM:IDcutnoiceID>
no dice,<BERTRAM:IDnodiceID>
lay odds,<BERTRAM:IDlayoddsID>
free rein,<BERTRAM:IDfreereinID>
come unstuck,<BERTRAM:IDcomeunstuckID>
thick and fast,<BERTRAM:IDthickandfastID>
on paper,<BERTRAM:IDonpaperID>
in the driving seat,<BERTRAM:IDinthedrivingseatID>
get lost,<BERTRAM:IDgetlostID>
catch a cold,<BERTRAM:IDcatchacoldID>
in someone's pocket,<BERTRAM:IDinsomeonespocketID>
over the moon,<BERTRAM:IDoverthemoonID>
go without saying,<BERTRAM:IDgowithoutsayingID>
take the liberty,<BERTRAM:IDtakethelibertyID>
get stuck in,<BERTRAM:IDgetstuckinID>
scream blue murder,<BERTRAM:IDscreambluemurderID>
make the cut,<BERTRAM:IDmakethecutID>
in the can,<BERTRAM:IDinthecanID>
take it from me,<BERTRAM:IDtakeitfrommeID>
make a splash,<BERTRAM:IDmakeasplashID>
pecking order,<BERTRAM:IDpeckingorderID>
fall by the wayside,<BERTRAM:IDfallbythewaysideID>
make the grade,<BERTRAM:IDmakethegradeID>
to the tune of,<BERTRAM:IDtothetuneofID>
stand someone in good stead,<BERTRAM:IDstandsomeoneingoodsteadID>
hit the right note,<BERTRAM:IDhittherightnoteID>
spring to mind,<BERTRAM:IDspringtomindID>
carrot and stick,<BERTRAM:IDcarrotandstickID>
on the carpet,<BERTRAM:IDonthecarpetID>
take someone's word for it,<BERTRAM:IDtakesomeoneswordforitID>
below par,<BERTRAM:IDbelowparID>
on the spur of the moment,<BERTRAM:IDonthespurofthemomentID>
on the face of it,<BERTRAM:IDonthefaceofitID>
pick up the tab,<BERTRAM:IDpickupthetabID>
around the clock,<BERTRAM:IDaroundtheclockID>
economical with the truth,<BERTRAM:IDeconomicalwiththetruthID>
step on it,<BERTRAM:IDsteponitID>
buy time,<BERTRAM:IDbuytimeID>
put paid to,<BERTRAM:IDputpaidtoID>
the grass is always greener,<BERTRAM:IDthegrassisalwaysgreenerID>
to the hilt,<BERTRAM:IDtothehiltID>
on the game,<BERTRAM:IDonthegameID>
hot air,<BERTRAM:IDhotairID>
on board,<BERTRAM:IDonboardID>
lose heart,<BERTRAM:IDloseheartID>
slippery slope,<BERTRAM:IDslipperyslopeID>
walk free,<BERTRAM:IDwalkfreeID>
change your tune,<BERTRAM:IDchangeyourtuneID>
all and sundry,<BERTRAM:IDallandsundryID>
jump through hoops,<BERTRAM:IDjumpthroughhoopsID>
out to lunch,<BERTRAM:IDouttolunchID>
from rags to riches,<BERTRAM:IDfromragstorichesID>
in no uncertain terms,<BERTRAM:IDinnouncertaintermsID>
hear things,<BERTRAM:IDhearthingsID>
on the back of,<BERTRAM:IDonthebackofID>
twist the knife,<BERTRAM:IDtwisttheknifeID>
once in a while,<BERTRAM:IDonceinawhileID>
all along,<BERTRAM:IDallalongID>
blow hot and cold,<BERTRAM:IDblowhotandcoldID>
ahead of the game,<BERTRAM:IDaheadofthegameID>
go to the wall,<BERTRAM:IDgotothewallID>
sleep rough,<BERTRAM:IDsleeproughID>
catch someone's eye,<BERTRAM:IDcatchsomeoneseyeID>
go through the motions,<BERTRAM:IDgothroughthemotionsID>
one and the same,<BERTRAM:IDoneandthesameID>
oil and water,<BERTRAM:IDoilandwaterID>
force someone's hand,<BERTRAM:IDforcesomeoneshandID>
for keeps,<BERTRAM:IDforkeepsID>
pure and simple,<BERTRAM:IDpureandsimpleID>
round the bend,<BERTRAM:IDroundthebendID>
new blood,<BERTRAM:IDnewbloodID>
yes and no,<BERTRAM:IDyesandnoID>
read between the lines,<BERTRAM:IDreadbetweenthelinesID>
get a move on,<BERTRAM:IDgetamoveonID>
steer clear of,<BERTRAM:IDsteerclearofID>
lead someone up the garden path,<BERTRAM:IDleadsomeoneupthegardenpathID>
break new ground,<BERTRAM:IDbreaknewgroundID>
once and for all,<BERTRAM:IDonceandforallID>
as a rule,<BERTRAM:IDasaruleID>
off the shelf,<BERTRAM:IDofftheshelfID>
anyone's guess,<BERTRAM:IDanyonesguessID>
dyed in the wool,<BERTRAM:IDdyedinthewoolID>
man and boy,<BERTRAM:IDmanandboyID>
pull strings,<BERTRAM:IDpullstringsID>
chew the fat,<BERTRAM:IDchewthefatID>
over your head,<BERTRAM:IDoveryourheadID>
for the time being,<BERTRAM:IDforthetimebeingID>
licence to print money,<BERTRAM:IDlicencetoprintmoneyID>
water under the bridge,<BERTRAM:IDwaterunderthebridgeID>
take a dim view of,<BERTRAM:IDtakeadimviewofID>
make a move,<BERTRAM:IDmakeamoveID>
for a song,<BERTRAM:IDforasongID>
the joke is on someone,<BERTRAM:IDthejokeisonsomeoneID>
hands down,<BERTRAM:IDhandsdownID>
hit the bottle,<BERTRAM:IDhitthebottleID>
in the dock,<BERTRAM:IDinthedockID>
off the wall,<BERTRAM:IDoffthewallID>
meat and potatoes,<BERTRAM:IDmeatandpotatoesID>
go overboard,<BERTRAM:IDgooverboardID>
jump to conclusions,<BERTRAM:IDjumptoconclusionsID>
all in a day's work,<BERTRAM:IDallinadaysworkID>
in the buff,<BERTRAM:IDinthebuffID>
in the clear,<BERTRAM:IDintheclearID>
in stitches,<BERTRAM:IDinstitchesID>
state of the art,<BERTRAM:IDstateoftheartID>
dry as dust,<BERTRAM:IDdryasdustID>
in the offing,<BERTRAM:IDintheoffingID>
all over the place,<BERTRAM:IDallovertheplaceID>
put two and two together,<BERTRAM:IDputtwoandtwotogetherID>
work wonders,<BERTRAM:IDworkwondersID>
sick and tired,<BERTRAM:IDsickandtiredID>
join the club,<BERTRAM:IDjointheclubID>
lay an egg,<BERTRAM:IDlayaneggID>
at a snail's pace,<BERTRAM:IDatasnailspaceID>
tit for tat,<BERTRAM:IDtitfortatID>
wet behind the ears,<BERTRAM:IDwetbehindtheearsID>
go hand in hand,<BERTRAM:IDgohandinhandID>
dressed to kill,<BERTRAM:IDdressedtokillID>
off the mark,<BERTRAM:IDoffthemarkID>
every last,<BERTRAM:IDeverylastID>
come to mind,<BERTRAM:IDcometomindID>
set eyes on,<BERTRAM:IDseteyesonID>
sink or swim,<BERTRAM:IDsinkorswimID>
out of order,<BERTRAM:IDoutoforderID>
show a leg,<BERTRAM:IDshowalegID>
play hard to get,<BERTRAM:IDplayhardtogetID>
donkey work,<BERTRAM:IDdonkeyworkID>
go public,<BERTRAM:IDgopublicID>
out of the blue,<BERTRAM:IDoutoftheblueID>
take stock,<BERTRAM:IDtakestockID>
a hair's breadth,<BERTRAM:IDahairsbreadthID>
get up someone's nose,<BERTRAM:IDgetupsomeonesnoseID>
old hat,<BERTRAM:IDoldhatID>
young blood,<BERTRAM:IDyoungbloodID>
out and about,<BERTRAM:IDoutandaboutID>
in a nutshell,<BERTRAM:IDinanutshellID>
grin like a Cheshire cat,<BERTRAM:IDgrinlikeacheshirecatID>
under a cloud,<BERTRAM:IDunderacloudID>
blaze a trail,<BERTRAM:IDblazeatrailID>
up to no good,<BERTRAM:IDuptonogoodID>
open the floodgates,<BERTRAM:IDopenthefloodgatesID>
scratch the surface,<BERTRAM:IDscratchthesurfaceID>
run amok,<BERTRAM:IDrunamokID>
rise to the occasion,<BERTRAM:IDrisetotheoccasionID>
under the influence,<BERTRAM:IDundertheinfluenceID>
body blow,<BERTRAM:IDbodyblowID>
take heart,<BERTRAM:IDtakeheartID>
see stars,<BERTRAM:IDseestarsID>
keep your pecker up,<BERTRAM:IDkeepyourpeckerupID>
turn something on its head,<BERTRAM:IDturnsomethingonitsheadID>
at a loose end,<BERTRAM:IDatalooseendID>
above par,<BERTRAM:IDaboveparID>
take the piss,<BERTRAM:IDtakethepissID>
on the warpath,<BERTRAM:IDonthewarpathID>
have kittens,<BERTRAM:IDhavekittensID>
come to think of it,<BERTRAM:IDcometothinkofitID>
song and dance,<BERTRAM:IDsonganddanceID>
go it alone,<BERTRAM:IDgoitaloneID>
second nature,<BERTRAM:IDsecondnatureID>
no man's land,<BERTRAM:IDnomanslandID>
black and blue,<BERTRAM:IDblackandblueID>
at a stretch,<BERTRAM:IDatastretchID>
tried and true,<BERTRAM:IDtriedandtrueID>
on the blink,<BERTRAM:IDontheblinkID>
on the mend,<BERTRAM:IDonthemendID>
as the actress said to the bishop,<BERTRAM:IDastheactresssaidtothebishopID>
to all intents and purposes,<BERTRAM:IDtoallintentsandpurposesID>
cross swords,<BERTRAM:IDcrossswordsID>
serve someone right,<BERTRAM:IDservesomeonerightID>
beg the question,<BERTRAM:IDbegthequestionID>
run a mile,<BERTRAM:IDrunamileID>
go straight,<BERTRAM:IDgostraightID>
take someone for a ride,<BERTRAM:IDtakesomeoneforarideID>
against the grain,<BERTRAM:IDagainstthegrainID>
in the bag,<BERTRAM:IDinthebagID>
free and easy,<BERTRAM:IDfreeandeasyID>
out cold,<BERTRAM:IDoutcoldID>
bite the bullet,<BERTRAM:IDbitethebulletID>
ride roughshod over,<BERTRAM:IDrideroughshodoverID>
in spades,<BERTRAM:IDinspadesID>
live and learn,<BERTRAM:IDliveandlearnID>
get to the bottom of,<BERTRAM:IDgettothebottomofID>
watch this space,<BERTRAM:IDwatchthisspaceID>
down in the mouth,<BERTRAM:IDdowninthemouthID>
get stuck into,<BERTRAM:IDgetstuckintoID>
hair of the dog,<BERTRAM:IDhairofthedogID>
short shrift,<BERTRAM:IDshortshriftID>
step on someone's toes,<BERTRAM:IDsteponsomeonestoesID>
close call,<BERTRAM:IDclosecallID>
work to rule,<BERTRAM:IDworktoruleID>
sweetness and light,<BERTRAM:IDsweetnessandlightID>
turn heads,<BERTRAM:IDturnheadsID>
keep someone in the dark,<BERTRAM:IDkeepsomeoneinthedarkID>
hold someone's hand,<BERTRAM:IDholdsomeoneshandID>
back to square one,<BERTRAM:IDbacktosquareoneID>
kill the goose that lays the golden egg,<BERTRAM:IDkillthegoosethatlaysthegoldeneggID>
call the shots,<BERTRAM:IDcalltheshotsID>
off the hook,<BERTRAM:IDoffthehookID>
on the square,<BERTRAM:IDonthesquareID>
thick as thieves,<BERTRAM:IDthickasthievesID>
word of mouth,<BERTRAM:IDwordofmouthID>
fall on deaf ears,<BERTRAM:IDfallondeafearsID>
cut both ways,<BERTRAM:IDcutbothwaysID>
out of the woods,<BERTRAM:IDoutofthewoodsID>
by hook or by crook,<BERTRAM:IDbyhookorbycrookID>
rock bottom,<BERTRAM:IDrockbottomID>
off the record,<BERTRAM:IDofftherecordID>
out of pocket,<BERTRAM:IDoutofpocketID>
go from strength to strength,<BERTRAM:IDgofromstrengthtostrengthID>
in this day and age,<BERTRAM:IDinthisdayandageID>
eat like a horse,<BERTRAM:IDeatlikeahorseID>
at cross purposes,<BERTRAM:IDatcrosspurposesID>
in the red,<BERTRAM:IDintheredID>
to the letter,<BERTRAM:IDtotheletterID>
on someone's mind,<BERTRAM:IDonsomeonesmindID>
in tandem,<BERTRAM:IDintandemID>
fight tooth and nail,<BERTRAM:IDfighttoothandnailID>
wide of the mark,<BERTRAM:IDwideofthemarkID>
up in the air,<BERTRAM:IDupintheairID>
change hands,<BERTRAM:IDchangehandsID>
wipe the floor with,<BERTRAM:IDwipethefloorwithID>
rough edges,<BERTRAM:IDroughedgesID>
one of those days,<BERTRAM:IDoneofthosedaysID>
bite the dust,<BERTRAM:IDbitethedustID>
come to grips with,<BERTRAM:IDcometogripswithID>
pie in the sky,<BERTRAM:IDpieintheskyID>
lay eyes on,<BERTRAM:IDlayeyesonID>
do a number on,<BERTRAM:IDdoanumberonID>
anything goes,<BERTRAM:IDanythinggoesID>
pull out all the stops,<BERTRAM:IDpulloutallthestopsID>
at a pinch,<BERTRAM:IDatapinchID>
lame duck,<BERTRAM:IDlameduckID>
in broad daylight,<BERTRAM:IDinbroaddaylightID>
in bed with,<BERTRAM:IDinbedwithID>
go bananas,<BERTRAM:IDgobananasID>
out of the box,<BERTRAM:IDoutoftheboxID>
from the word go,<BERTRAM:IDfromthewordgoID>
win the day,<BERTRAM:IDwinthedayID>
rough and ready,<BERTRAM:IDroughandreadyID>
too big for your boots,<BERTRAM:IDtoobigforyourbootsID>
have a ball,<BERTRAM:IDhaveaballID>
cast your mind back,<BERTRAM:IDcastyourmindbackID>
on the cards,<BERTRAM:IDonthecardsID>
keep a lid on,<BERTRAM:IDkeepalidonID>
sure as eggs is eggs,<BERTRAM:IDsureaseggsiseggsID>
bite your tongue,<BERTRAM:IDbiteyourtongueID>
face to face,<BERTRAM:IDfacetofaceID>
boys will be boys,<BERTRAM:IDboyswillbeboysID>
square the circle,<BERTRAM:IDsquarethecircleID>
to a turn,<BERTRAM:IDtoaturnID>
few and far between,<BERTRAM:IDfewandfarbetweenID>
head south,<BERTRAM:IDheadsouthID>
kick the habit,<BERTRAM:IDkickthehabitID>
draw a blank,<BERTRAM:IDdrawablankID>
great minds think alike,<BERTRAM:IDgreatmindsthinkalikeID>
far and away,<BERTRAM:IDfarandawayID>
go the distance,<BERTRAM:IDgothedistanceID>
keep up appearances,<BERTRAM:IDkeepupappearancesID>
sweep the board,<BERTRAM:IDsweeptheboardID>
settle a score,<BERTRAM:IDsettleascoreID>
jump on the bandwagon,<BERTRAM:IDjumponthebandwagonID>
in the saddle,<BERTRAM:IDinthesaddleID>
stroke of luck,<BERTRAM:IDstrokeofluckID>
blow a fuse,<BERTRAM:IDblowafuseID>
all hell broke loose,<BERTRAM:IDallhellbrokelooseID>
carry the day,<BERTRAM:IDcarrythedayID>
on the level,<BERTRAM:IDonthelevelID>
under the sun,<BERTRAM:IDunderthesunID>
fill someone's shoes,<BERTRAM:IDfillsomeonesshoesID>
break even,<BERTRAM:IDbreakevenID>
on the trot,<BERTRAM:IDonthetrotID>
claim to fame,<BERTRAM:IDclaimtofameID>
out of sight,<BERTRAM:IDoutofsightID>
head over heels,<BERTRAM:IDheadoverheelsID>
play ball,<BERTRAM:IDplayballID>
wipe someone's eye,<BERTRAM:IDwipesomeoneseyeID>
get the better of,<BERTRAM:IDgetthebetterofID>
brownie point,<BERTRAM:IDbrowniepointID>
high as a kite,<BERTRAM:IDhighasakiteID>
